,model_name,embedding_size,seq_len,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1
0,DeepFC,15,35,0.3228472911057579,0.2681912381893677,0.3228472911057579,0.2710675373421024,0.2202672605790646,0.18040786107534615,0.2202672605790646,0.18665757403015756
0,SimpleRNN,15,35,0.2100514855226489,0.24438211045129313,0.2100514855226489,0.15456266469433164,0.1935412026726058,0.17454035133016593,0.1935412026726058,0.139309336484496
0,LSTM,15,35,0.23281847810684428,0.25720316827528317,0.23281847810684428,0.20115337765476918,0.20579064587973275,0.19940815598725048,0.20579064587973275,0.17595222210513436
0,baseline,75,35,0.8010486042227576,0.8049094595345763,0.8010486042227576,0.8016467413646633,0.22093541202672606,0.21920847669391672,0.22093541202672606,0.21928992268722727
0,DeepFC,75,35,0.431533701761844,0.4103519501152923,0.431533701761844,0.39749983610948236,0.21804008908685968,0.20050859712994548,0.21804008908685968,0.191805953683307
0,SimpleRNN,75,35,0.21520003778753957,0.44866594840488616,0.21520003778753957,0.11571156726398416,0.19510022271714922,0.17001316485221207,0.19510022271714922,0.08207264041071541
0,LSTM,75,35,0.2922393840631052,0.4147194393534095,0.2922393840631052,0.2506931624813848,0.2374164810690423,0.23968903456248175,0.2374164810690423,0.19417808385057705
0,baseline,150,35,0.7854140097302914,0.7930728303609055,0.7854140097302914,0.7865851677612413,0.2285077951002227,0.22693055797183134,0.2285077951002227,0.22623160936080106
0,DeepFC,150,35,0.414151433564782,0.3724823212791568,0.414151433564782,0.3691776886123028,0.22583518930957683,0.1897706651048578,0.22583518930957683,0.2011967006586709
0,SimpleRNN,150,35,0.205233574228898,0.6495538553430306,0.205233574228898,0.0889555237832647,0.19933184855233854,0.2528342410810705,0.19933184855233854,0.07148134508215935
0,LSTM,150,35,0.2180813376789004,0.47378294111280167,0.2180813376789004,0.12026088281917928,0.19665924276169264,0.17322923092210998,0.19665924276169264,0.08283408899720246
0,baseline,15,50,0.6284067828633508,0.6481373276622989,0.6284067828633508,0.6297666812782462,0.21202672605790646,0.21030175678661575,0.21202672605790646,0.206351184277837
0,DeepFC,15,50,0.2687166406877332,0.2820459440071354,0.2687166406877332,0.20690352648635982,0.20801781737193764,0.22221501814189243,0.20801781737193764,0.15625324637815108
0,SimpleRNN,15,50,0.18879599452080675,0.4266744964551468,0.18879599452080675,0.10358677807543543,0.18129175946547885,0.10886594591998634,0.18129175946547885,0.09841394587602302
0,LSTM,15,50,0.22346606206603373,0.23602158401257467,0.22346606206603373,0.18792229036399102,0.20824053452115812,0.2321628693125162,0.20824053452115812,0.17539374272200434
0,baseline,75,50,0.7945774880733079,0.8037336697243008,0.7945774880733079,0.7958940295021443,0.22360801781737194,0.2238650623773615,0.22360801781737194,0.22220091109554857
0,DeepFC,75,50,0.3985168390723159,0.5034122926746339,0.3985168390723159,0.358766835882569,0.22071269487750556,0.18864640983136968,0.22071269487750556,0.19105748987903864
0,SimpleRNN,75,50,0.19923480232393367,0.5406450309463356,0.19923480232393367,0.07782253202590304,0.20089086859688196,0.1848053850936812,0.20089086859688196,0.07179948574814293
0,LSTM,75,50,0.20197439894194888,0.5939457311678372,0.20197439894194888,0.08306438140554354,0.2,0.18769222461405832,0.2,0.07241251555396008
0,baseline,150,50,0.776156062538378,0.7792683064025993,0.776156062538378,0.7766871059145833,0.2242761692650334,0.22193804310302592,0.2242761692650334,0.22227956183665537
0,DeepFC,150,50,0.30385905247744555,0.3019935337885196,0.30385905247744555,0.2207563847355933,0.2,0.2020171888928399,0.2,0.135648255953783
0,SimpleRNN,150,50,0.1928109205989325,0.058418320131082835,0.1928109205989325,0.06255618033717103,0.20044543429844097,0.040249907800957274,0.20044543429844097,0.06703835794465304
0,LSTM,150,50,0.19942374002172783,0.700335027260793,0.19942374002172783,0.0762637760581063,0.20089086859688196,0.17828288720870988,0.20089086859688196,0.06895498130046629
